"primary_spa_name","primary_spa_city","competitor_rank","competitor_name","competitor_review_count","competitor_star_rating","competitor_distance_miles","competitor_gbp_url"
"Heyday Skincare Seaport","Boston","3","Restore Hyper Wellness","188","4.9","3.17","https://www.google.com/maps/search/?api=1&query=Restore%20Hyper%20Wellness&query_place_id=ChIJ_3lfJtlw44kRhQUM0cH7zqc"
"Bougie Aesthetics","Fort Worth","1","Hanami Medspa: Elaine Phuah, DO, MBA, FACOI","254","4.9","1.21","https://www.google.com/maps/search/?api=1&query=Hanami%20Medspa%3A%20Elaine%20Phuah%2C%20DO%2C%20MBA%2C%20FACOI&query_place_id=ChIJh6xb-nJxToYRl0sDgOMiOcw"
"Bougie Aesthetics","Fort Worth","2","Tina Torres Cosmetics","135","4.9","0.66","https://www.google.com/maps/search/?api=1&query=Tina%20Torres%20Cosmetics&query_place_id=ChIJxwt82kdzToYRizTFX0vGphU"
"Bougie Aesthetics","Fort Worth","3","Skin Beauty Med Spa","79","5.0","1.13","https://www.google.com/maps/search/?api=1&query=Skin%20Beauty%20Med%20Spa&query_place_id=ChIJMUW46pVxToYRt1cgDSTAmN8"
"The Science of Beauty","Dallas","1","It's A Secret Med Spa","574","4.6","1.01","https://www.google.com/maps/search/?api=1&query=It's%20A%20Secret%20Med%20Spa&query_place_id=ChIJsSzHhjGZToYRNTzakPv8gq8"
"The Science of Beauty","Dallas","2","Lemmon Avenue Plastic Surgery and Laser Center","444","4.9","0.99","https://www.google.com/maps/search/?api=1&query=Lemmon%20Avenue%20Plastic%20Surgery%20and%20Laser%20Center&query_place_id=ChIJN_OiSCuZToYRc0N9LjtYaP4"
"The Science of Beauty","Dallas","3","SkinSpirit West Village Dallas","150","4.9","1.1","https://www.google.com/maps/search/?api=1&query=SkinSpirit%20West%20Village%20Dallas&query_place_id=ChIJyVE92lOfToYRq1HCZBLZF0M"
"H2 Wellness & MedSpa","Fort Worth","1","It's A Secret Med Spa","308","4.7","2.29","https://www.google.com/maps/search/?api=1&query=It's%20A%20Secret%20Med%20Spa&query_place_id=ChIJ_wc3yzRzToYRKgq7xXuE7x8"
"H2 Wellness & MedSpa","Fort Worth","2","Beverly Hills Rejuvenation Center","198","4.7","2.0","https://www.google.com/maps/search/?api=1&query=Beverly%20Hills%20Rejuvenation%20Center&query_place_id=ChIJq19dokZzToYRhpLzfU31xSs"
"H2 Wellness & MedSpa","Fort Worth","3","InjectCo MedSpa Fort Worth","100","5.0","2.03","https://www.google.com/maps/search/?api=1&query=InjectCo%20MedSpa%20Fort%20Worth&query_place_id=ChIJY52k0mpzToYR9XV5Bfj-quM"
